DocumentID,DatesDocumentID,timestamp,name,County,Name,data,Surf Height: Size,Surf Height: Direction,Surf Height: Period,Surf Height: Angle,Wave Power,Primary -> height,Primary -> letters,Primary -> period,Primary -> angle,Primary -> Points off,Seconday 1 -> height,Seconday 1 -> letters,Seconday 1 -> period,Seconday 1 -> angle,Secondary 1 -> Points off,Seconday 2 -> height,Seconday 2 -> letters,Seconday 2 -> period,Seconday 2 -> angle,Secondary 2 -> Points off,Seconday 3 -> height,Seconday 3 -> letters,Seconday 3 -> period,Seconday 3 -> angle,Secondary 3 -> Points off,Wind Direction (NSEW),Wind Direction (Human Relation),Wind Direction (Angle),Primary Wind Speed,Wind -> Points off
13th Street,Sunday-1-10PM,01 December 2024: 12:19PM,Orange County,Orange County,13th Street,"['Sunday', 'December', 1, 2024, '10PM']",0.6,WNW,18.0,108.0,243,0.6,WNW,18,108.0,0.0,0.4,SSW,12.0,14.0,4.0,0.4,SW,18.0,34.0,3.0,,,,,,WSW,cross-on,74.0,5.0,7.0
13th Street,Sunday-1-7AM,01 December 2024: 12:19PM,Orange County,Orange County,13th Street,"['Sunday', 'December', 1, 2024, '7AM']",0.4,SSW,12.0,14.0,58,0.4,SSW,12,14.0,4.0,0.3,SW,19.0,45.0,3.0,0.2,WNW,20.0,117.0,0.0,,,,,,ESE,glass,291.0,0.0,3.0
13th Street,Wednesday-27-10AM,26 November 2024: 7:10PM,Orange County,Orange County,13th Street,"['Wednesday', 'November', 27, 2024, '10AM']",0.4,WSW,6.0,76.0,14,0.4,WSW,6,76.0,2.0,-0.3,S,11.0,-0.0,5.0,-0.8,S,18.0,7.0,5.0,,,,,,SW,on,56.0,10.0,8.0
13th Street,Monday-2-1AM,01 December 2024: 12:19PM,Orange County,Orange County,13th Street,"['Monday', 'December', 2, 2024, '1AM']",0.6,WNW,17.0,108.0,237,0.6,WNW,17,108.0,0.0,0.4,SSW,12.0,14.0,4.0,0.4,SW,18.0,45.0,3.0,,,,,,W,glass,91.0,5.0,6.0
13th Street,Monday-2-7AM,01 December 2024: 12:19PM,Orange County,Orange County,13th Street,"['Monday', 'December', 2, 2024, '7AM']",0.6,WNW,16.0,108.0,206,0.6,WNW,16,108.0,0.0,0.4,SSW,12.0,14.0,4.0,0.4,SW,18.0,45.0,3.0,,,,,,W,glass,97.0,5.0,6.0
13th Street,Monday-2-10AM,01 December 2024: 12:19PM,Orange County,Orange County,13th Street,"['Monday', 'December', 2, 2024, '10AM']",0.6,WNW,16.0,108.0,201,0.6,WNW,16,108.0,0.0,0.4,SSW,12.0,14.0,4.0,0.4,SW,18.0,34.0,3.0,,,,,,WNW,glass,117.0,0.0,5.0
204,Saturday-30-10AM,29 November 2024: 7:21PM,Orange County,Orange County,204,"['Saturday', 'November', 30, 2024, '10AM']",0.6,S,13.0,9.0,128,0.6,S,13,9.0,1.0,0.3,W,7.0,90.0,3.0,0.2,SSE,8.0,333.0,2.0,,,,,,W,cross-on,80.0,5.0,6.0
204,Monday-2-4PM,01 December 2024: 12:19PM,Orange County,Orange County,204,"['Monday', 'December', 2, 2024, '4PM']",0.7,WNW,16.0,106.0,259,0.7,WNW,16,106.0,4.0,0.4,SW,16.0,34.0,1.0,0.3,S,12.0,-0.0,1.0,0.3,W,3.0,90.0,3.0,WNW,cross-on,103.0,10.0,5.0
204,Tuesday-26-1PM,26 November 2024: 7:10PM,Orange County,Orange County,204,"['Tuesday', 'November', 26, 2024, '1PM']",0.5,S,21.0,11.0,231,0.5,S,21,11.0,1.0,0.5,W,8.0,90.0,3.0,0.3,SSW,12.0,18.0,0.0,,,,,,WNW,cross-on,102.0,10.0,5.0
204,Tuesday-26-4PM,26 November 2024: 7:10PM,Orange County,Orange County,204,"['Tuesday', 'November', 26, 2024, '4PM']",0.5,S,21.0,-0.0,212,0.5,S,21,-0.0,1.0,0.5,W,8.0,90.0,3.0,0.3,SSW,12.0,18.0,0.0,,,,,,W,cross-on,101.0,10.0,6.0
