Brand,Model,Length,Width,Thickness,Volume,Image URL,Total Length (inches)
bing-surfboards,Bing Aussie Square,"10'0"" "," 23.38"" "," 3.19""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,120.0
bing-surfboards,Bing Aussie Square,"9'4"" "," 22.75"" "," 2.94""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,112.0
bing-surfboards,Bing Aussie Square,"11'0"" "," 23.75"" "," 3.50""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,132.0
bing-surfboards,Bing Aussie Square,"10'6"" "," 23.63"" "," 3.43""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,126.0
bing-surfboards,Bing Aussie Square,"9'10"" "," 23.25"" "," 3.13""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,118.0
bing-surfboards,Bing Aussie Square,"9'0"" "," 22.50"" "," 2.88""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,108.0
bing-surfboards,Bing Aussie Square,"9'6"" "," 23.00"" "," 3.06""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,114.0
bing-surfboards,Bing Aussie Square,"10'2"" "," 24.44"" "," 3.25""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,122.0
bing-surfboards,Bing Aussie Square,"9'2"" "," 22.68"" "," 2.88""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,110.0
bing-surfboards,Bing Aussie Square,"10'4"" "," 23.50"" "," 3.38""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,124.0
bing-surfboards,Bing Aussie Square,"9'8"" "," 23.13"" "," 3.06""",NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/Bing_AussieSquare.webp?v=1705951887,116.0
bing-surfboards,Bing Beacon,10’0” , 23.75” , 3.13” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,120.0
bing-surfboards,Bing Beacon,9’8” , 23.38” , 3.06” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,116.0
bing-surfboards,Bing Beacon,9’6” , 23.25” , 3.00” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,114.0
bing-surfboards,Bing Beacon,9’4” , 23.00” , 2.94” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,112.0
bing-surfboards,Bing Beacon,10’2” , 24.00” , 3.25” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,122.0
bing-surfboards,Bing Beacon,10’6” , 24.25” , 3.38” ,NO BOARD LITERS,https://cdn.shopify.com/s/files/1/2062/5873/files/bingbeacon.jpg?v=1682509089,126.0
