DocumentID,DatesDocumentID,timestamp,name,County,Name,data,Surf Height: Size,Surf Height: Direction,Surf Height: Period,Surf Height: Angle,Star Rating,Wave Power,Primary -> height,Primary -> letters,Primary -> period,Primary -> angle,Primary -> Points off,Seconday 1 -> height,Seconday 1 -> letters,Seconday 1 -> period,Seconday 1 -> angle,Secondary 1 -> Points off,Seconday 2 -> height,Seconday 2 -> letters,Seconday 2 -> period,Seconday 2 -> angle,Secondary 2 -> Points off,Seconday 3 -> height,Seconday 3 -> letters,Seconday 3 -> period,Seconday 3 -> angle,Secondary 3 -> Points off,Wind Direction (NSEW),Wind Direction (Human Relation),Wind Direction (Angle),Primary Wind Speed,Wind -> Points off
Klamath Rivermouth,Tuesday-26-10PM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,Klamath Rivermouth,"['Tuesday', 'November', 26, 2024, '10PM']",0.9,WNW,7.0,103.0,1.0,86,0.9,WNW,7,103.0,3,0.5,W,13,101.0,2,0.3,WNW,20.0,108.0,3,,,,,,ENE,off,254.0,10.0,1
Klamath Rivermouth,Tuesday-26-1PM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,Klamath Rivermouth,"['Tuesday', 'November', 26, 2024, '1PM']",0.8,WSW,7.0,67.0,1.0,61,0.8,WSW,7,67.0,1,0.6,WNW,8,108.0,3,0.4,WNW,14.0,104.0,3,,,,,,WNW,glass,112.0,5.0,7
Klamath Rivermouth,Tuesday-26-4PM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,Klamath Rivermouth,"['Tuesday', 'November', 26, 2024, '4PM']",0.8,WSW,6.0,76.0,0.0,90,0.8,WSW,6,76.0,1,0.6,NW,8,135.0,4,0.5,W,13.0,101.0,2,,,,,,NNW,cross-on,156.0,10.0,5
Klamath Rivermouth,Tuesday-26-7PM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,Klamath Rivermouth,"['Tuesday', 'November', 26, 2024, '7PM']",0.8,W,6.0,83.0,1.0,89,0.8,W,6,83.0,2,0.6,WNW,8,121.0,3,0.5,W,13.0,101.0,2,,,,,,NNE,cross-off,210.0,10.0,3
Klamath Rivermouth,Wednesday-27-10AM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,Klamath Rivermouth,"['Wednesday', 'November', 27, 2024, '10AM']",0.9,NW,7.0,126.0,1.0,104,0.9,NW,7,126.0,4,0.4,WNW,12,104.0,3,0.4,WNW,18.0,104.0,3,,,,,,NE,glass,233.0,5.0,2
Klamath Rivermouth,Wednesday-27-1AM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,Klamath Rivermouth,"['Wednesday', 'November', 27, 2024, '1AM']",0.8,WNW,7.0,104.0,1.0,76,0.8,WNW,7,104.0,3,0.5,W,12,101.0,2,0.2,SSW,21.0,27.0,1,,,,,,ENE,off,253.0,10.0,1
Klamath Rivermouth,Wednesday-27-4AM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,Klamath Rivermouth,"['Wednesday', 'November', 27, 2024, '4AM']",0.6,W,6.0,99.0,1.0,75,0.6,W,6,99.0,2,0.5,W,12,101.0,2,0.4,NW,8.0,135.0,4,,,,,,E,off,266.0,10.0,0
Klamath Rivermouth,Wednesday-27-7AM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,Klamath Rivermouth,"['Wednesday', 'November', 27, 2024, '7AM']",0.7,WNW,7.0,117.0,1.0,160,0.7,WNW,7,117.0,3,0.5,W,18,101.0,2,0.5,W,12.0,101.0,2,,,,,,E,off,261.0,10.0,0
South Beach,Tuesday-26-10PM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,South Beach,"['Tuesday', 'November', 26, 2024, '10PM']",0.8,W,7.0,90.0,0.0,75,0.8,W,7,90.0,1,0.4,W,13,90.0,1,0.3,WNW,20.0,108.0,2,,,,,,ENE,off,237.0,10.0,1
South Beach,Tuesday-26-1PM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,South Beach,"['Tuesday', 'November', 26, 2024, '1PM']",0.8,WSW,7.0,60.0,0.0,57,0.8,WSW,7,60.0,0,0.6,WNW,8,108.0,2,0.4,W,14.0,90.0,1,,,,,,NW,cross,134.0,5.0,4
South Beach,Tuesday-26-4PM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,South Beach,"['Tuesday', 'November', 26, 2024, '4PM']",1.0,W,7.0,84.0,1.0,92,1.0,W,7,84.0,1,0.4,W,13,90.0,1,0.3,SW,12.0,45.0,1,,,,,,NNW,cross-off,160.0,15.0,3
South Beach,Tuesday-26-7PM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,South Beach,"['Tuesday', 'November', 26, 2024, '7PM']",0.9,W,7.0,90.0,0.0,75,0.9,W,7,90.0,1,0.4,W,13,90.0,1,0.3,WNW,20.0,108.0,2,,,,,,NNE,off,203.0,10.0,1
South Beach,Wednesday-27-10AM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,South Beach,"['Wednesday', 'November', 27, 2024, '10AM']",0.7,WNW,7.0,117.0,1.0,104,0.7,WNW,7,117.0,2,0.4,W,12,90.0,1,0.4,WNW,18.0,104.0,2,,,,,,NE,off,216.0,5.0,0
South Beach,Wednesday-27-1AM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,South Beach,"['Wednesday', 'November', 27, 2024, '1AM']",0.7,W,7.0,90.0,0.0,47,0.7,W,7,90.0,1,0.4,W,12,90.0,1,0.2,SSW,21.0,27.0,2,,,,,,ENE,off,238.0,10.0,1
South Beach,Wednesday-27-4AM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,South Beach,"['Wednesday', 'November', 27, 2024, '4AM']",0.6,W,6.0,90.0,0.0,46,0.6,W,6,90.0,1,0.4,W,12,90.0,1,0.3,NW,8.0,135.0,3,,,,,,ENE,cross-off,257.0,10.0,1
South Beach,Wednesday-27-7AM,26 November 2024: 7:10PM,Del Norte County,Del Norte County,South Beach,"['Wednesday', 'November', 27, 2024, '7AM']",0.6,WNW,7.0,108.0,1.0,104,0.6,WNW,7,108.0,2,0.4,WNW,18,104.0,2,0.4,W,12.0,90.0,1,,,,,,ENE,cross-off,248.0,10.0,1
Bunkers,Tuesday-26-10PM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Bunkers,"['Tuesday', 'November', 26, 2024, '10PM']",1.1,NW,8.0,128.0,1.0,233,1.1,NW,8,128.0,2,0.5,W,13,101.0,0,0.5,S,21.0,11.0,4,,,,,,NE,cross,221.0,15.0,4
Bunkers,Tuesday-26-1PM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Bunkers,"['Tuesday', 'November', 26, 2024, '1PM']",1.0,W,7.0,84.0,1.0,93,1.0,W,7,84.0,0,0.8,NW,8,140.0,2,0.5,W,14.0,101.0,0,,,,,,WNW,glass,115.0,5.0,7
Bunkers,Tuesday-26-4PM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Bunkers,"['Tuesday', 'November', 26, 2024, '4PM']",1.0,W,7.0,96.0,0.0,94,1.0,W,7,96.0,0,0.6,NW,8,141.0,2,0.5,W,13.0,101.0,0,,,,,,N,cross-on,180.0,15.0,6
Bunkers,Tuesday-26-7PM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Bunkers,"['Tuesday', 'November', 26, 2024, '7PM']",1.1,WNW,8.0,117.0,0.0,157,1.1,WNW,8,117.0,1,0.5,W,13,101.0,0,0.4,SSW,21.0,14.0,3,,,,,,NNE,cross,213.0,10.0,5
Bunkers,Wednesday-27-10AM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Bunkers,"['Wednesday', 'November', 27, 2024, '10AM']",1.0,NW,7.0,135.0,1.0,276,1.0,NW,7,135.0,2,0.6,S,20,9.0,4,0.5,WNW,18.0,112.0,1,,,,,,NNE,cross,205.0,5.0,5
Bunkers,Wednesday-27-1AM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Bunkers,"['Wednesday', 'November', 27, 2024, '1AM']",1.0,NW,8.0,127.0,1.0,153,1.0,NW,8,127.0,2,0.5,W,12,101.0,0,0.4,SSW,21.0,14.0,3,,,,,,ESE,cross-off,283.0,5.0,1
Bunkers,Wednesday-27-4AM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Bunkers,"['Wednesday', 'November', 27, 2024, '4AM']",0.8,WNW,8.0,113.0,1.0,83,0.8,WNW,8,113.0,1,0.5,WNW,12,112.0,1,0.5,NNW,4.0,158.0,3,,,,,,E,cross-off,260.0,5.0,2
Bunkers,Wednesday-27-7AM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Bunkers,"['Wednesday', 'November', 27, 2024, '7AM']",0.8,NW,7.0,135.0,1.0,178,0.8,NW,7,135.0,2,0.5,WNW,18,112.0,1,0.5,W,12.0,101.0,0,,,,,,E,cross-off,265.0,5.0,2
Camel Rock,Tuesday-26-10PM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Camel Rock,"['Tuesday', 'November', 26, 2024, '10PM']",1.0,WNW,8.0,114.0,1.0,110,1.0,WNW,8,114.0,0,0.5,W,13,101.0,1,0.3,WNW,20.0,108.0,0,,,,,,NE,cross-off,233.0,10.0,2
Camel Rock,Tuesday-26-1PM,26 November 2024: 7:10PM,Humboldt County,Humboldt County,Camel Rock,"['Tuesday', 'November', 26, 2024, '1PM']",1.0,W,7.0,90.0,1.0,96,1.0,W,7,90.0,1,0.6,NW,8,141.0,1,0.4,WNW,14.0,104.0,0,,,,,,WNW,glass,123.0,5.0,7
